. Sequence file : [run5.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #63	76   	-32362.07161	Yes        	4        	0.570    	0.000    	 0.18226   0.32371   0.30847   0.18556	-1.16487   0.25531   0.80409   0.10548  
      	     	          	           	          	           	             	                                      	 0.14374  -0.86427   0.21457   0.50596  
      	     	          	           	          	           	             	                                      	 0.47508   0.22516  -0.87676   0.17652  
      	     	          	           	          	           	             	                                      	 0.10360   0.88267   0.29345  -1.27971  

  #64	76   	-31955.64688	Yes        	4        	0.570    	0.000    	 0.19408   0.31066   0.32288   0.17238	-1.14342   0.32417   0.76023   0.05902  
      	     	          	           	          	           	             	                                      	 0.20252  -0.89245   0.18678   0.50316  
      	     	          	           	          	           	             	                                      	 0.45698   0.17971  -0.83412   0.19743  
      	     	          	           	          	           	             	                                      	 0.06645   0.90681   0.36980  -1.34306  

